tempo [s];Z [m];w [m/s];arquivo_origem
18.876;0.376386;-0.009455387;x0.0.csv
18.909;0.37252;-0.025207912;x0.0.csv
18.942;0.373325;-0.00318266;x0.0.csv
18.975;0.373062;-0.000177609;x0.0.csv
19.008;0.37315;0.007863636;x0.0.csv
19.041;0.374339;-0.006372896;x0.0.csv
19.074;0.372293;-0.009344276;x0.0.csv
19.107;0.373465;-0.004901515;x0.0.csv
19.14;0.372258;-0.006183502;x0.0.csv
19.173;0.372503;0.006300505;x0.0.csv
19.206;0.37315;0.00553367;x0.0.csv
19.239;0.37308;-0.000192761;x0.0.csv
19.272;0.372905;-0.000676768;x0.0.csv
19.305;0.372905;0.002522727;x0.0.csv
19.338;0.373028;0.008704545;x0.0.csv
19.371;0.37364;0.009935185;x0.0.csv
19.404;0.37336;0.01889899;x0.0.csv
19.437;0.375441;0.012144781;x0.0.csv
